 Candidate State, Age Range, Sex, Study area, Study Title, Years Experience, Sector, event_type__val,Expected Ral, Residence State, Residence Italian Region, European Residence
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
First contact,late 20s,Male,Information Engineering,Three-year degree,between 3 and 5,Others,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 30s,Female,Not Specified,master's degree,none,Not Specified,CV request,Not Given,ITALY,Lazio,Yes
Imported,late 20s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Campania,Yes
First contact,late 20s,Male,Automotive Engineering,Five-year degree,between 1 and 3,Others,Contact note,Not Given,ITALY,Puglia,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Male,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Tuscany,Yes
Imported,early 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Female,Automation/Mechatronics Engineering,Five-year degree,none,Not Specified,Contact note,Not Given,ITALY,Lazio,Yes
Imported,late 20s,Male,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Mechanical engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Marche,Yes
First contact,early 20s,Female,Biomedical Engineering,Five-year degree,between 0 and 1,Life sciences,CV request,Not available,ITALY,Liguria,Yes
Imported,late 20s,Female,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Female,Management Engineering,Five-year degree,none,Not Specified,Contact note,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,computer engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Aosta Valley,Yes
Imported,late 20s,Male,Electrical Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Calabria,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
In selection,late 20s,Female,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Consulting,BM interview,Not Given,ITALY,Piedmont,Yes
First contact,early 20s,Female,industrial engineering,Three-year degree,between 1 and 3,Not Specified,Candidate notification,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Sardinia,Yes
Imported,late 20s,Male,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,early 20s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Male,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Veneto,Yes
Imported,late 20s,Male,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
In selection,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Not Specified,Technical interview,Not Given,ITALY,Marche,Yes
Imported,late 20s,Male,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Emilia Romagna,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 30s,Male,Energy and Nuclear Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,early 30s,Male,Mechanical engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Lazio,Yes
Imported,late 20s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Male,Electrical Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,early 20s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 30s,Female,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Female,Mechanical engineering,Five-year degree,none,Not Specified,Contact note,Not Given,ITALY,Piedmont,Yes
First contact,early 30s,Male,Mechanical engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
First contact,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 0 and 1,Aeronautics,Technical interview,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Female,Mechanical engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Lazio,Yes
In selection,late 20s,Male,Automation/Mechatronics Engineering,Five-year degree,between 1 and 3,Consulting,BM interview,26-28 K,ITALY,Sicily,Yes
Imported,early 30s,Female,Mechanical engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Male,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Campania,Yes
Imported,early 20s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Puglia,Yes
Imported,late 20s,Male,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Male,Information Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Mechanical engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Lazio,Yes
Imported,late 20s,Male,computer engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Puglia,Yes
Imported,late 20s,Male,Mechanical engineering,Five-year degree,none,Not Specified,Contact note,Not Given,ITALY,Piedmont,Yes
First contact,late 20s,Male,Energy and Nuclear Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Emilia Romagna,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Trentino Alto Adige,Yes
Imported,late 20s,Male,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,electronic Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Liguria,Yes
Imported,early 20s,Male,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Lazio,Yes
Imported,late 20s,Female,Mechanical engineering,Five-year degree,none,Not Specified,Contact note,Not Given,ITALY,Piedmont,Yes
First contact,early 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
First contact,late 20s,Male,Biomedical Engineering,Five-year degree,none,Not Specified,Contact note,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Campania,Yes
Imported,early 30s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Sardinia,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
In selection,early 20s,Female,industrial engineering,Three-year degree,between 1 and 3,Life sciences,BM interview,Not available,ITALY,Sicily,Yes
Imported,late 20s,Male,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Campania,Yes
Imported,late 20s,Male,electronic Engineering,Five-year degree,none,Not Specified,Contact note,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Energy and Nuclear Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
First contact,late 20s,Male,Biomedical Engineering,Five-year degree,none,Life sciences,Contact note,Not available,ITALY,Puglia,Yes
First contact,late 20s,Male,Mechanical engineering,Five-year degree,between 0 and 1,Aeronautics,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Molise,Yes
Imported,early 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Abruzzo,Yes
Imported,late 20s,Male,Mechanical engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,early 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Male,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Molise,Yes
Imported,late 20s,Female,Management Engineering,Five-year degree,none,Not Specified,Contact note,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Biomedical Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Umbria,Yes
Imported,late 20s,Male,Mechanical engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Puglia,Yes
Imported,early 30s,Female,Energy and Nuclear Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,electronic Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Basilicata,Yes
First contact,late 20s,Male,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Puglia,Yes
Imported,late 20s,Female,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Puglia,Yes
Imported,late 20s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Mechanical engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
First contact,late 20s,Male,electronic Engineering,Five-year degree,none,Others,Contact note,Not Given,ITALY,Aosta Valley,Yes
Imported,early 30s,Female,Automation/Mechatronics Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 30s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Veneto,Yes
Imported,late 20s,Male,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Lazio,Yes
In selection,late 20s,Male,electronic Engineering,Five-year degree,none,Not Specified,Technical interview,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Female,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Male,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Abruzzo,Yes
Imported,late 20s,Female,Biomedical Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Molise,Yes
First contact,late 20s,Male,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,electronic Engineering,Five-year degree,none,Not Specified,Contact note,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Sardinia,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Sardinia,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Puglia,Yes
Imported,early 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Puglia,Yes
Imported,early 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Male,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Lombardy,Yes
Imported,late 20s,Male,Biomedical Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
In selection,early 20s,Female,Management Engineering,Five-year degree,between 1 and 3,Consulting,HR interview,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
First contact,late 20s,Male,computer engineering,Five-year degree,none,Not Specified,Contact note,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
First contact,early 30s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Female,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Female,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Lazio,Yes
Imported,early 20s,Female,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Female,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Mechanical engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Puglia,Yes
First contact,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 30s,Female,Not Specified,Doctorate,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,electronic Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Molise,Yes
Imported,early 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Male,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 30s,Male,Not Specified,Doctorate,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Male,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Liguria,Yes
In selection,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Not Specified,BM interview,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
First contact,late 20s,Male,Mechanical engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Puglia,Yes
Imported,late 20s,Male,computer engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Male,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Puglia,Yes
Imported,late 20s,Male,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
First contact,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Female,Biomedical Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Campania,Yes
First contact,early 30s,Male,Energy and Nuclear Engineering,Five-year degree,none,Not Specified,Candidate notification,Not Given,ITALY,Abruzzo,Yes
First contact,late 20s,Male,Mechanical engineering,Five-year degree,between 1 and 3,Not Specified,CV request,Not Given,ITALY,Molise,Yes
Imported,early 20s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Telecommunications Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Puglia,Yes
Imported,early 30s,Male,Not Specified,Doctorate,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Male,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Female,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Female,Telecommunications Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
First contact,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 0 and 1,Not Specified,CV request,Not Given,ITALY,Lazio,Yes
First contact,late 20s,Male,Management Engineering,Five-year degree,between 0 and 1,Not Specified,Contact note,28-30 K,ITALY,Piedmont,Yes
Imported,early 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Female,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Female,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Hired,late 20s,Male,electronic Engineering,Five-year degree,none,Not Specified,BM interview,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
First contact,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,between 1 and 3,Aeronautics,CV request,Not available,ITALY,Sicily,Yes
Imported,late 20s,Male,Mechanical engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Female,Biomedical Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
First contact,late 20s,Male,Mechanical engineering,Five-year degree,none,Not Specified,Contact note,Not Given,ITALY,Lazio,Yes
Imported,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Information Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Sardinia,Yes
First contact,late 20s,Male,Automation/Mechatronics Engineering,Five-year degree,none,Not Specified,Contact note,Not Given,ITALY,Sardinia,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Friuli Venezia Giulia,Yes
Imported,late 20s,Male,computer engineering,Five-year degree,none,Not Specified,Contact note,Not Given,ITALY,Lombardy,Yes
Imported,early 20s,Male,Management Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Lombardy,Yes
Imported,late 20s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Abruzzo,Yes
Imported,late 20s,Male,Automation/Mechatronics Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Aeronautical/Aerospace/Astronautics Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Puglia,Yes
First contact,early 20s,Female,Biomedical Engineering,Five-year degree,none,Life sciences,Contact note,Not available,ITALY,Lazio,Yes
Imported,late 20s,Male,Mechanical engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Mechanical engineering,Five-year degree,none,Not Specified,Contact note,Not Given,ITALY,Piedmont,Yes
Imported,early 30s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Female,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Mechanical engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,electronic Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Male,Mechanical engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Female,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Male,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,late 20s,Male,Biomedical Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Aosta Valley,Yes
Imported,late 20s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
In selection,late 20s,Male,Automotive Engineering,Five-year degree,between 1 and 3,Automotive,HR interview,Not Given,ITALY,Piedmont,Yes
Imported,early 20s,Female,industrial engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Calabria,Yes
Imported,late 20s,Female,Energy and Nuclear Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Male,Information Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Piedmont,Yes
Imported,early 30s,Male,Information Engineering,Three-year degree,none,Not Specified,CV request,Not Given,ITALY,Sicily,Yes
Imported,late 20s,Female,Management Engineering,Five-year degree,none,Not Specified,CV request,Not Given,ITALY,Tuscany,Yes
First contact,early 30s,Male,Automotive Engineering,master's degree,between 5 and 7,Automotive,Not Specified,Not Given,INDIA,Not Italian Region,No
First contact,early 30s,Female,Other,Five-year degree,between 1 and 3,Others,Not Specified,Not Given,ITALY,Piedmont,Yes
First contact,late 20s,Male,Economic - Statistics,master's degree,none,Others,Not Specified,Not Given,ITALY,Piedmont,Yes
First contact,less than 20 years,Male,Aeronautical/Aerospace/Astronautics Engineering,master's degree,between 0 and 1,Aeronautics,Not Specified,Not Given,FRANCE,Not Italian Region,Yes
First contact,more than 45 years,Male,Other scientific subjects,master's degree,between 1 and 3,Others,Not Specified,Not Given,ITALY,Piedmont,Yes
First contact,less than 20 years,Female,Other,Five-year degree,between 7 and 10,Services and Information Systems,Contact note,+ 50 K,ITALY,Lazio,Yes
First contact,more than 45 years,Male,Other,High school graduation,more than 10,Services and Information Systems,Not Specified,Not Given,ITALY,Lazio,Yes
First contact,early 40s,Female,Informatics,Three-year degree,more than 10,Services and Information Systems,Not Specified,Not Given,ITALY,Puglia,Yes
In selection,less than 20 years,Male,Automation/Mechatronics Engineering,Five-year degree,between 0 and 1,Automotive,Technical interview,Not Given,ITALY,Lazio,Yes
First contact,less than 20 years,Male,Other,Five-year degree,between 1 and 3,Others,Not Specified,Not Given,ITALY,Lombardy,Yes
First contact,late 20s,Male,Management Engineering,Three-year degree,none,Others,Not Specified,Not Given,ITALY,Campania,Yes
First contact,less than 20 years,Male,electronic Engineering,Three-year degree,between 5 and 7,Others,Not Specified,Not Given,INDIA,Not Italian Region,No
First contact,early 30s,Female,Other,master's degree,between 5 and 7,Others,Not Specified,Not Given,ITALY,Piedmont,Yes
First contact,late 20s,Male,Information Engineering,Five-year degree,between 0 and 1,Others,Candidate notification,Not Given,ITALY,Campania,Yes
First contact,early 30s,Female,Chemist - Pharmaceutical,Five-year degree,between 3 and 5,Others,Not Specified,Not Given,ITALY,Liguria,Yes
First contact,late 20s,Male,Biomedical Engineering,Three-year degree,none,Others,Not Specified,Not Given,ITALY,Liguria,Yes
First contact,early 40s,Male,Mechanical engineering,Five-year degree,more than 10,Oil and Gas,Research association,Not Given,ITALY,Lombardy,Yes
First contact,more than 45 years,Male,Mechanical engineering,Three-year degree,more than 10,Oil and Gas,Research association,Not Given,ITALY,Puglia,Yes
In selection,late 20s,Male,chemical engineering,Three-year degree,none,Others,Contact note,Not Given,ITALY,Lombardy,Yes
First contact,early 30s,Male,industrial engineering,Five-year degree,between 1 and 3,Others,Not Specified,Not Given,ITALY,Lombardy,Yes
First contact,early 40s,Male,electronic Engineering,Three-year degree,more than 10,Automotive,Not Specified,Not Given,ITALY,Piedmont,Yes
First contact,more than 45 years,Male,Engineering for the environment and the territory,master's degree,more than 10,Oil and Gas,Contact note,Not Given,ITALY,Puglia,Yes
First contact,less than 20 years,Male,electronic Engineering,Three-year degree,more than 10,Automotive,Contact note,Not Given,ITALY,Piedmont,Yes
In selection,early 30s,Male,Other,Professional qualification,more than 10,Services and Information Systems,Contact note,Not Given,ITALY,Tuscany,Yes
In selection,early 30s,Female,Other,Five-year degree,between 3 and 5,Life sciences,Contact note,Not Given,ITALY,Puglia,Yes
